username,user_id,comments,post_id,likes,time,created_time
ford,215007312,844,1080443870512424933_215007312,19532,2015-10-03 01:11:33.019000,2015-09-23 14:36:07
ford,215007312,844,1080443870512424933_215007312,19532,2015-10-03 01:13:00.420000,2015-09-23 14:36:07
ford,215007312,32,1080546404166018968_215007312,10827,2015-10-03 01:11:33.019000,2015-09-23 17:59:50
ford,215007312,32,1080546404166018968_215007312,10827,2015-10-03 01:13:00.420000,2015-09-23 17:59:50
ford,215007312,179,1081150651840603470_215007312,14093,2015-10-03 01:11:33.019000,2015-09-24 14:00:22
ford,215007312,179,1081150651840603470_215007312,14093,2015-10-03 01:13:00.420000,2015-09-24 14:00:22
ford,215007312,342,1081248046045734555_215007312,15106,2015-10-03 01:11:33.019000,2015-09-24 17:13:53
ford,215007312,342,1081248046045734555_215007312,15106,2015-10-03 01:13:00.420000,2015-09-24 17:13:53
ford,215007312,90,1081920811904018183_215007312,14779,2015-10-03 01:11:33.019000,2015-09-25 15:30:33
ford,215007312,90,1081920811904018183_215007312,14779,2015-10-03 01:13:00.420000,2015-09-25 15:30:33
ford,215007312,51,1084222807134708929_215007312,12301,2015-10-03 01:11:33.019000,2015-09-28 19:44:12
ford,215007312,51,1084222807134708929_215007312,12301,2015-10-03 01:13:00.420000,2015-09-28 19:44:12
ford,215007312,218,1084342517805360149_215007312,18861,2015-10-03 01:11:33.019000,2015-09-28 23:42:02
ford,215007312,218,1084342517805360149_215007312,18862,2015-10-03 01:13:00.420000,2015-09-28 23:42:02
ford,215007312,226,1084907010037917538_215007312,21807,2015-10-03 01:11:33.019000,2015-09-29 18:23:35
ford,215007312,226,1084907010037917538_215007312,21807,2015-10-03 01:13:00.420000,2015-09-29 18:23:35
ford,215007312,33,1085623424373761298_215007312,10847,2015-10-03 01:11:33.019000,2015-09-30 18:06:58
ford,215007312,33,1085623424373761298_215007312,10847,2015-10-03 01:13:00.420000,2015-09-30 18:06:58
ford,215007312,39,1085710506454689288_215007312,11455,2015-10-03 01:11:33.019000,2015-09-30 20:59:59
ford,215007312,39,1085710506454689288_215007312,11455,2015-10-03 01:13:00.420000,2015-09-30 20:59:59
ford,215007312,157,1086237450120210293_215007312,17158,2015-10-03 01:11:33.019000,2015-10-01 14:26:56
ford,215007312,157,1086237450120210293_215007312,17158,2015-10-03 01:13:00.420000,2015-10-01 14:26:56
ford,215007312,135,1086317761906615444_215007312,13399,2015-10-03 01:11:33.019000,2015-10-01 17:06:30
ford,215007312,135,1086317761906615444_215007312,13400,2015-10-03 01:13:00.420000,2015-10-01 17:06:30
ford,215007312,86,1086955565707700052_215007312,8124,2015-10-03 01:11:33.019000,2015-10-02 14:13:42
ford,215007312,86,1086955565707700052_215007312,8126,2015-10-03 01:13:00.420000,2015-10-02 14:13:42
ford,215007312,58,1087104290518214578_215007312,11706,2015-10-03 01:11:33.019000,2015-10-02 19:09:11
ford,215007312,58,1087104290518214578_215007312,11719,2015-10-03 01:13:00.420000,2015-10-02 19:09:11
